Timestamp,Gender,Do you have a job?,How many course credits do you take in this semester? ,How many accumulative course credits have you acquired so far?,Which year are you in?,Have you learnt any of the following programming language(s)?,The reason you register at this course
10/16/2024 9:17:30,Male,Full-time job,3,31-60,Year 5 and above,"R, Python, JavaScript",Interest
10/16/2024 9:34:16,Male,Part-time job,16,91-120,Junior  (三年級）,None,Interest
10/16/2024 13:17:34,Male,No job. (Full-time student),19,"0 (Freshman, 一年級新生）",Freshman (一年級）,"Python, C++/C#","Interest, For potential career skill"
10/16/2024 13:20:04,Male,No job. (Full-time student),18,"0 (Freshman, 一年級新生）",Freshman (一年級）,None,Major's requirement
10/16/2024 13:20:33,Male,No job. (Full-time student),21,"0 (Freshman, 一年級新生）",Freshman (一年級）,"C, JavaScript","Interest, Major's requirement"
10/16/2024 13:21:50,Male,Part-time job,8,121-140,Year 5 and above,None,Major's requirement
10/16/2024 13:22:13,Male,Part-time job,20,"0 (Freshman, 一年級新生）",Freshman (一年級）,C++/C#,"Interest, For potential career skill"
10/16/2024 13:22:55,Male,No job. (Full-time student),14,61-90,Senior（四年級）,"Python, C++/C#, JavaScript, Java","Interest, For potential career skill"
10/16/2024 13:23:22,Male,No job. (Full-time student),21,"0 (Freshman, 一年級新生）",Freshman (一年級）,None,Major's requirement
10/16/2024 13:23:31,Female,No job. (Full-time student),19,"0 (Freshman, 一年級新生）",Freshman (一年級）,None,Major's requirement
10/16/2024 13:23:44,Female,Part-time job,16,"0 (Freshman, 一年級新生）",Freshman (一年級）,None,Major's requirement
10/16/2024 13:23:47,Male,No job. (Full-time student),19,"0 (Freshman, 一年級新生）",Freshman (一年級）,R,"Interest, Major's requirement"
10/16/2024 13:23:57,Female,Part-time job,22,31-60,Sophomore （二年級）,None,"For potential career skill, Major's requirement"
10/16/2024 13:23:57,Female,No job. (Full-time student),19,"0 (Freshman, 一年級新生）",Freshman (一年級）,None,Major's requirement
10/16/2024 13:24:04,Male,No job. (Full-time student),22,"0 (Freshman, 一年級新生）",Freshman (一年級）,"Python, C",Interest
10/16/2024 13:24:05,Female,Part-time job,21,1-30,Sophomore （二年級）,C++/C#,Major's requirement
10/16/2024 13:24:13,Female,No job. (Full-time student),21,"0 (Freshman, 一年級新生）",Freshman (一年級）,None,Major's requirement
10/16/2024 13:24:17,Female,No job. (Full-time student),21,"0 (Freshman, 一年級新生）",Freshman (一年級）,None,Major's requirement
10/16/2024 13:24:24,Female,No job. (Full-time student),23,"0 (Freshman, 一年級新生）",Freshman (一年級）,None,Major's requirement
10/16/2024 13:24:35,Female,Part-time job,21,91-120,Junior  (三年級）,None,Major's requirement
10/16/2024 13:25:09,Female,Part-time job,23,1-30,Sophomore （二年級）,"R, Python",Major's requirement
10/16/2024 13:25:17,Female,Part-time job,23,31-60,Sophomore （二年級）,R,Major's requirement
10/16/2024 13:25:52,Female,No job. (Full-time student),22,"0 (Freshman, 一年級新生）",Freshman (一年級）,None,Major's requirement
10/16/2024 13:25:46,Female,No job. (Full-time student),18,"0 (Freshman, 一年級新生）",Freshman (一年級）,None,Major's requirement
10/16/2024 13:25:49,Female,No job. (Full-time student),16,"0 (Freshman, 一年級新生）",Freshman (一年級）,None,Major's requirement
10/16/2024 13:25:57,Male,No job. (Full-time student),19,"0 (Freshman, 一年級新生）",Freshman (一年級）,None,Major's requirement
10/16/2024 13:26:18,Male,No job. (Full-time student),19,"0 (Freshman, 一年級新生）",Freshman (一年級）,None,Major's requirement
10/16/2024 13:26:20,Male,Part-time job,18,"0 (Freshman, 一年級新生）",Freshman (一年級）,"R, Python, C++/C#",Major's requirement
10/16/2024 13:26:20,Male,No job. (Full-time student),19,"0 (Freshman, 一年級新生）",Freshman (一年級）,None,Major's requirement
10/16/2024 13:26:28,Male,No job. (Full-time student),22,"0 (Freshman, 一年級新生）",Freshman (一年級）,"Python, C++/C#",Major's requirement
10/16/2024 13:26:28,Female,No job. (Full-time student),21,"0 (Freshman, 一年級新生）",Freshman (一年級）,C++/C#,"For potential career skill, Major's requirement"
10/16/2024 13:26:34,Male,No job. (Full-time student),19,"0 (Freshman, 一年級新生）",Freshman (一年級）,None,Major's requirement
10/16/2024 13:26:36,Female,Part-time job,20,1-30,Sophomore （二年級）,C++/C#,Major's requirement
10/16/2024 13:26:47,Female,No job. (Full-time student),19,"0 (Freshman, 一年級新生）",Freshman (一年級）,Python,"For potential career skill, Major's requirement"
10/16/2024 13:26:47,Female,No job. (Full-time student),24,"0 (Freshman, 一年級新生）",Freshman (一年級）,C++/C#,"For potential career skill, Major's requirement"
10/16/2024 13:26:53,Female,No job. (Full-time student),20,"0 (Freshman, 一年級新生）",Freshman (一年級）,None,"For potential career skill, Major's requirement"
10/16/2024 13:27:09,Male,No job. (Full-time student),23,"0 (Freshman, 一年級新生）",Freshman (一年級）,C++/C#,Major's requirement
10/16/2024 13:27:14,Female,No job. (Full-time student),19,"0 (Freshman, 一年級新生）",Freshman (一年級）,"Python, C++/C#",For potential career skill
10/16/2024 13:27:42,Male,Part-time job,18,"0 (Freshman, 一年級新生）",Freshman (一年級）,Python,Major's requirement
10/16/2024 13:28:10,Male,No job. (Full-time student),21,"0 (Freshman, 一年級新生）",Freshman (一年級）,C++/C#,Major's requirement
10/16/2024 13:33:22,Male,No job. (Full-time student),23,"0 (Freshman, 一年級新生）",Freshman (一年級）,C++/C#,Major's requirement