Timestamp,性別,工作狀態,年齡,接觸過的程式,選這門課原因,課程建議（包含想學什麼課題）,一週工時
10/5/2024 10:31:41,男,全職工作者,40+,"R, Python, JavaScript","興趣, 覺得對未來生涯發展很重要, ",,40
10/5/2024 14:38:20,男,兼職工作者,23-30,無（第一次接觸）,"興趣, 覺得對未來生涯發展很重要",,36
10/5/2024 14:39:22,男,兼職工作者,18-22,無（第一次接觸）,覺得對未來生涯發展很重要,,35
10/5/2024 14:39:44,女,兼職工作者,18-22,無（第一次接觸）,他人推薦,,40
10/5/2024 14:39:48,男,全職工作者,23-30,Python,覺得對未來生涯發展很重要,,50
10/5/2024 14:39:52,男,兼職工作者,18-22,無（第一次接觸）,他人推薦,,70
10/5/2024 14:39:56,男,全職工作者,18-22,"Python, C, C++/C#",興趣,,50
10/5/2024 14:40:01,男,全職工作者,18-22,無（第一次接觸）,他人推薦,,40
10/5/2024 14:40:22,女,無工作,18-22,無（第一次接觸）,覺得對未來生涯發展很重要,想學Python,0
10/5/2024 14:40:23,女,無工作,40+,無（第一次接觸）,興趣,無,0
10/5/2024 14:41:24,女,全職工作者,23-30,"R, Python, JavaScript",覺得對未來生涯發展很重要,Hope can use python or JavaScript please 🙏 .,6
10/5/2024 15:02:37,女,兼職工作者,18-22,無（第一次接觸）,他人推薦,,40
10/5/2024 15:08:50,女,無工作,23-30,無（第一次接觸）,覺得對未來生涯發展很重要,,0
10/5/2024 15:15:04,男,全職工作者,23-30,無（第一次接觸）,"興趣, 覺得對未來生涯發展很重要",,40
10/5/2024 15:16:30,女,兼職工作者,23-30,無（第一次接觸）,覺得對未來生涯發展很重要,,12
10/6/2024 0:06:12,女,無工作,18-22,無（第一次接觸）,他人推薦,,8
10/16/2024 13:57:52,女,無工作,18-22,R,必修,,0